id,name,price,brand,category,description,rich_text,rating,review_count,color,material
19246,American Eagle White Sandal,101.29,American Eagle,Shoes > Sandals,This white sandal from American Eagle is made from high-quality cashmere. Perfect for shoes looking for stylish and comfortable sandal.,"Product: American Eagle White Sandal
Brand: American Eagle
Price: $101.29
Category: Shoes > Sandals
Color: White
Material: Cashmere
Description: This white sandal from American Eagle is made from high-quality cashmere. Perfect for shoes looking for stylish and comfortable sandal.
Rating: 4.1 stars (35 reviews)
Tags: American Eagle White Cashmere Shoes Sandals",4.1,35,White,Cashmere
6082,Banana Republic Beige Watche,133.1,Banana Republic,Accessories > Watches,This beige watche from Banana Republic is made from high-quality leather. Perfect for accessories looking for stylish and comfortable watche.,"Product: Banana Republic Beige Watche
Brand: Banana Republic
Price: $133.10
Category: Accessories > Watches
Color: Beige
Material: Leather
Description: This beige watche from Banana Republic is made from high-quality leather. Perfect for accessories looking for stylish and comfortable watche.
Rating: 3.5 stars (18 reviews)
Tags: Banana Republic Beige Leather Accessories Watches",3.5,18,Beige,Leather
1667,American Eagle Cream Swimwear,55.99,American Eagle,Women > Swimwear,This cream swimwear from American Eagle is made from high-quality nylon. Perfect for women looking for stylish and comfortable swimwear.,"Product: American Eagle Cream Swimwear
Brand: American Eagle
Price: $55.99
Category: Women > Swimwear
Color: Cream
Material: Nylon
Description: This cream swimwear from American Eagle is made from high-quality nylon. Perfect for women looking for stylish and comfortable swimwear.
Rating: 5.0 stars (27 reviews)
Tags: American Eagle Cream Nylon Women Swimwear",5.0,27,Cream,Nylon
10544,Old Navy Olive Swimwear,63.39,Old Navy,Women > Swimwear,This olive swimwear from Old Navy is made from high-quality cotton. Perfect for women looking for stylish and comfortable swimwear.,"Product: Old Navy Olive Swimwear
Brand: Old Navy
Price: $63.39
Category: Women > Swimwear
Color: Olive
Material: Cotton
Description: This olive swimwear from Old Navy is made from high-quality cotton. Perfect for women looking for stylish and comfortable swimwear.
Rating: 4.4 stars (41 reviews)
Tags: Old Navy Olive Cotton Women Swimwear",4.4,41,Olive,Cotton
4365,Levi's Gray Top,30.46,Levi's,Women > Tops,This gray top from Levi's is made from high-quality nylon. Perfect for women looking for stylish and comfortable top.,"Product: Levi's Gray Top
Brand: Levi's
Price: $30.46
Category: Women > Tops
Color: Gray
Material: Nylon
Description: This gray top from Levi's is made from high-quality nylon. Perfect for women looking for stylish and comfortable top.
Rating: 4.6 stars (7 reviews)
Tags: Levi's Gray Nylon Women Tops",4.6,7,Gray,Nylon
1022,Zara White Sandal,143.46,Zara,Shoes > Sandals,This white sandal from Zara is made from high-quality cotton. Perfect for shoes looking for stylish and comfortable sandal.,"Product: Zara White Sandal
Brand: Zara
Price: $143.46
Category: Shoes > Sandals
Color: White
Material: Cotton
Description: This white sandal from Zara is made from high-quality cotton. Perfect for shoes looking for stylish and comfortable sandal.
Rating: 4.9 stars (31 reviews)
Tags: Zara White Cotton Shoes Sandals",4.9,31,White,Cotton
10515,H&M Brown Shirt,47.17,H&M,Men > Shirts,This brown shirt from H&M is made from high-quality velvet. Perfect for men looking for stylish and comfortable shirt.,"Product: H&M Brown Shirt
Brand: H&M
Price: $47.17
Category: Men > Shirts
Color: Brown
Material: Velvet
Description: This brown shirt from H&M is made from high-quality velvet. Perfect for men looking for stylish and comfortable shirt.
Rating: 3.5 stars (11 reviews)
Tags: H&M Brown Velvet Men Shirts",3.5,11,Brown,Velvet
832,Calvin Klein Pink Sandal,62.76,Calvin Klein,Shoes > Sandals,This pink sandal from Calvin Klein is made from high-quality linen. Perfect for shoes looking for stylish and comfortable sandal.,"Product: Calvin Klein Pink Sandal
Brand: Calvin Klein
Price: $62.76
Category: Shoes > Sandals
Color: Pink
Material: Linen
Description: This pink sandal from Calvin Klein is made from high-quality linen. Perfect for shoes looking for stylish and comfortable sandal.
Rating: 4.5 stars (24 reviews)
Tags: Calvin Klein Pink Linen Shoes Sandals",4.5,24,Pink,Linen
762,H&M Navy Pant,25.64,H&M,Men > Pants,This navy pant from H&M is made from high-quality linen. Perfect for men looking for stylish and comfortable pant.,"Product: H&M Navy Pant
Brand: H&M
Price: $25.64
Category: Men > Pants
Color: Navy
Material: Linen
Description: This navy pant from H&M is made from high-quality linen. Perfect for men looking for stylish and comfortable pant.
Rating: 3.3 stars (31 reviews)
Tags: H&M Navy Linen Men Pants",3.3,31,Navy,Linen
795,American Eagle Cream Top,32.77,American Eagle,Women > Tops,This cream top from American Eagle is made from high-quality cotton. Perfect for women looking for stylish and comfortable top.,"Product: American Eagle Cream Top
Brand: American Eagle
Price: $32.77
Category: Women > Tops
Color: Cream
Material: Cotton
Description: This cream top from American Eagle is made from high-quality cotton. Perfect for women looking for stylish and comfortable top.
Tags: American Eagle Cream Cotton Women Tops",4.5,0,Cream,Cotton
